used thread name : http-nio-8080-exec-3 ,[24년 11월 11일 17시 08분 10초] HTTP Method: GET, Message: Request processed successfully, Latency: 58300 ns
used thread name : http-nio-8080-exec-4 ,[24년 11월 11일 17시 08분 10초] HTTP Method: GET, Message: Request processed successfully, Latency: 58300 ns
used thread name : http-nio-8080-exec-6 ,[24년 11월 11일 17시 08분 10초] HTTP Method: GET, Message: Request processed successfully, Latency: 61100 ns
used thread name : http-nio-8080-exec-5 ,[24년 11월 11일 17시 08분 10초] HTTP Method: GET, Message: Request processed successfully, Latency: 57300 ns
used thread name : http-nio-8080-exec-8 ,[24년 11월 11일 17시 08분 10초] HTTP Method: GET, Message: Request processed successfully, Latency: 78400 ns
쓰레드 이름 : http-nio-8080-exec-1 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 686800 ns
쓰레드 이름 : http-nio-8080-exec-2 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 76700 ns
쓰레드 이름 : http-nio-8080-exec-2 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 88100 ns
쓰레드 이름 : http-nio-8080-exec-1 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 61000 ns
쓰레드 이름 : http-nio-8080-exec-3 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 98700 ns
쓰레드 이름 : http-nio-8080-exec-4 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 96500 ns
쓰레드 이름 : http-nio-8080-exec-6 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 84900 ns
쓰레드 이름 : http-nio-8080-exec-5 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 84800 ns
쓰레드 이름 : http-nio-8080-exec-8 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 78400 ns
쓰레드 이름 : http-nio-8080-exec-7 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 78500 ns
쓰레드 이름 : http-nio-8080-exec-2 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 97200 ns
쓰레드 이름 : http-nio-8080-exec-1 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 82900 ns
쓰레드 이름 : http-nio-8080-exec-3 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 90700 ns
쓰레드 이름 : http-nio-8080-exec-4 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 105400 ns
쓰레드 이름 : http-nio-8080-exec-6 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 69300 ns
쓰레드 이름 : http-nio-8080-exec-8 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 78000 ns
쓰레드 이름 : http-nio-8080-exec-7 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 67900 ns
쓰레드 이름 : http-nio-8080-exec-10 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 75000 ns
쓰레드 이름 : http-nio-8080-exec-9 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 77600 ns
쓰레드 이름 : http-nio-8080-exec-2 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 85800 ns
쓰레드 이름 : http-nio-8080-exec-3 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 87300 ns
쓰레드 이름 : http-nio-8080-exec-4 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 83000 ns
쓰레드 이름 : http-nio-8080-exec-6 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 84000 ns
쓰레드 이름 : http-nio-8080-exec-5 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 64100 ns
쓰레드 이름 : http-nio-8080-exec-8 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 83200 ns
쓰레드 이름 : http-nio-8080-exec-10 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 227100 ns
쓰레드 이름 : http-nio-8080-exec-9 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 128500 ns
쓰레드 이름 : http-nio-8080-exec-2 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 144500 ns
쓰레드 이름 : http-nio-8080-exec-1 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 131300 ns
쓰레드 이름 : http-nio-8080-exec-3 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 58400 ns
쓰레드 이름 : http-nio-8080-exec-6 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 152200 ns
